product_id,product_name,brand,category,pack_size_ml,base_price,sugar_content_gm,caffeine_content_mg,flavor,is_seasonal
P000,Product_0,Sprite,Juice,500,135.60436315076828,71.78881463197074,26.75567449872821,Orange,True
P001,Product_1,Sprite,Carbonated,200,122.29325344005012,64.51707718595688,38.50464648601123,Orange,False
P002,Product_2,MinuteMaid,Carbonated,500,474.71425388782154,32.96071830064336,2.0311281629731504,Mixed,True
P003,Product_3,Sprite,Carbonated,2000,309.6421271699276,67.15825174394158,6.498585306713245,Orange,False
P004,Product_4,MinuteMaid,Juice,2000,71.46520398689358,77.11797483998052,11.664957636241935,Mixed,True
P005,Product_5,Fanta,Carbonated,1500,256.4513604107005,84.60339563130415,23.191092200246793,Grape,False
P006,Product_6,Sprite,Carbonated,1500,446.985958488566,73.92969399181821,23.725772685584573,Grape,False
P007,Product_7,Fanta,Juice,300,158.0116580132886,70.09743422545398,12.134898105098602,Mixed,True
P008,Product_8,Fanta,Energy Drink,200,366.69820694396145,7.554131862156077,30.59129111204592,Mixed,False
P009,Product_9,Fanta,Energy Drink,1500,92.72846407635348,80.97220527667024,16.44891704360641,Grape,False
P010,Product_10,Sprite,Water,300,318.8069407307601,20.631897584852588,39.183092465322275,Lime,True
P011,Product_11,MinuteMaid,Carbonated,1000,242.07316931925422,10.067435217933374,0.8092081487600322,Orange,False
P012,Product_12,Sprite,Energy Drink,200,157.43655244265264,9.229876071580357,2.1498986308941315,Mixed,True
P013,Product_13,Fanta,Water,2000,255.31256089064604,35.68922340918138,15.77594499774872,Mixed,True
P014,Product_14,MinuteMaid,Water,2000,397.24636546359466,45.163431858448256,17.035912805792115,Lime,False
P015,Product_15,Sprite,Water,200,389.4634653289757,0.4455686053309704,5.874779341499931,Mixed,False
P016,Product_16,Fanta,Energy Drink,200,104.95355161199933,96.22833516541314,34.40717040611183,Orange,True
P017,Product_17,ThumbsUp,Energy Drink,2000,134.73528756466845,60.53960509936002,4.463659104186185,Grape,False
P018,Product_18,Fanta,Carbonated,500,108.33631629243564,92.74014366383048,9.378600305883399,Grape,False
P019,Product_19,ThumbsUp,Carbonated,300,328.0977016663883,64.3093111873582,45.41579643263838,Lime,False
P020,Product_20,ThumbsUp,Energy Drink,500,392.24608436866646,93.23848912819986,40.35615041110992,Cola,True
P021,Product_21,Sprite,Juice,200,316.3051063421934,74.25751876225787,11.8511530997506,Grape,True
P022,Product_22,Fanta,Juice,200,210.63384951640091,83.00998750323888,15.990035006589304,Orange,True
P023,Product_23,Sprite,Water,1000,128.3450607631189,32.594457526174345,29.607404600137006,Lime,False
P024,Product_24,Coke,Water,500,107.19534718270756,90.85718542984674,11.716860800002744,Orange,True
P025,Product_25,MinuteMaid,Water,1000,219.50393441580758,64.69288375502519,0.9893477932520045,Orange,False
P026,Product_26,MinuteMaid,Carbonated,200,94.9499405163542,44.24362990710824,49.37223410661016,Mixed,True
P027,Product_27,MinuteMaid,Carbonated,1500,278.1442864139218,22.145109079686765,15.985615091624133,Cola,True
P028,Product_28,Fanta,Carbonated,200,187.33734880629623,81.63069744111363,32.21647256389139,Cola,False
P029,Product_29,Coke,Carbonated,2000,311.56138401283334,12.525237901169906,43.43376833408208,Grape,True
P030,Product_30,Coke,Juice,300,439.24087606489974,19.809969208343425,3.0780531844159684,Cola,False
P031,Product_31,ThumbsUp,Carbonated,200,171.24880992985752,71.69602203674334,17.038883020997208,Mixed,True
P032,Product_32,ThumbsUp,Carbonated,500,451.0235815721941,49.28066786334083,2.5200381525669835,Cola,True
P033,Product_33,Fanta,Juice,2000,437.30122650576897,42.97852629061069,2.727499228410457,Orange,True
P034,Product_34,Sprite,Energy Drink,500,379.72541781968573,62.411723622370864,36.06171125266018,Cola,False
P035,Product_35,Coke,Energy Drink,500,352.182836833772,59.368035140209486,10.3109840700218,Cola,False
P036,Product_36,ThumbsUp,Carbonated,2000,45.78524432750763,56.58446684389804,40.96324008287398,Grape,False
P037,Product_37,ThumbsUp,Juice,500,460.3428234125968,78.8653543823982,5.1431577765045535,Mixed,True
P038,Product_38,MinuteMaid,Energy Drink,200,79.88324231977872,69.34033023929825,31.407021578408038,Grape,True
P039,Product_39,Coke,Water,200,173.74419164296555,8.462535746344058,13.576614166689966,Orange,False
P040,Product_40,Coke,Carbonated,1000,59.384230743380165,99.57416052761528,48.367318678273776,Grape,True
P041,Product_41,Sprite,Juice,1500,394.41789213560463,56.128177394640424,29.019740402164114,Cola,True
P042,Product_42,Fanta,Energy Drink,200,305.1503750812749,32.19595813417714,34.92971206575373,Mixed,False
P043,Product_43,Coke,Water,1500,416.90749312745754,51.54152807323934,26.24155380088854,Orange,False
P044,Product_44,Coke,Carbonated,1000,92.78001172668806,66.99946089863784,38.01822037939069,Lime,True
P045,Product_45,Sprite,Juice,2000,461.016583119335,23.926294248278978,30.5532872004805,Orange,False
P046,Product_46,MinuteMaid,Energy Drink,2000,290.5212444278413,48.23921140308984,45.650547581929516,Mixed,True
P047,Product_47,Coke,Energy Drink,200,204.39968114990037,6.512892857613517,20.246575936135553,Lime,False
P048,Product_48,ThumbsUp,Water,1000,370.0836462876381,43.36153356968342,38.80146297843049,Mixed,True
P049,Product_49,ThumbsUp,Water,1000,193.26957993076465,88.78751970645932,42.44266910739156,Mixed,False
P050,Product_50,Coke,Water,1500,343.4234862026742,60.058149707793206,40.6674627929536,Cola,False
P051,Product_51,Coke,Carbonated,200,396.5242788875751,76.36582271207219,9.015924774958917,Grape,True
P052,Product_52,Sprite,Juice,200,339.2114903192311,17.780989410750415,18.041784615960303,Cola,True
P053,Product_53,Coke,Energy Drink,2000,112.17235353695693,92.59209585033787,12.104673633100866,Lime,False
P054,Product_54,ThumbsUp,Juice,1500,251.76722352580583,93.75693704311165,13.316666217525697,Grape,False
P055,Product_55,ThumbsUp,Carbonated,2000,275.99091919858506,1.493381722265641,38.952147322795376,Mixed,False
P056,Product_56,ThumbsUp,Juice,1500,213.10053032969728,78.84240095242242,44.87327631637142,Cola,False
P057,Product_57,Sprite,Juice,200,380.701435130389,73.48120373818648,24.15172720491786,Grape,False
P058,Product_58,Fanta,Water,500,228.1537907745693,9.754099318122655,13.083540604415129,Mixed,False
P059,Product_59,Fanta,Juice,500,214.4294130206794,58.78933211785002,7.367432160248422,Orange,False
P060,Product_60,Coke,Water,1000,94.9911583428923,17.607630951868934,21.969375699708376,Orange,False
P061,Product_61,MinuteMaid,Carbonated,1000,435.39192714231757,45.30725673103836,38.6997960585025,Cola,True
P062,Product_62,Sprite,Water,1500,102.00878073116048,40.535302207091064,47.414680756538594,Lime,False
P063,Product_63,Fanta,Juice,200,281.5917512553614,35.692289295954936,47.64736812468542,Cola,True
P064,Product_64,Coke,Water,500,177.45675128898557,65.53131637532555,2.6477494541022715,Orange,True
